combo_label,M,organo_id,n_seeds_con_datos,edep_medio_J,s_between_J,se_within_medio_J,ratio_se_within_sobre_s_between,ic95_s_between_low,ic95_s_between_high
GCR_He_min_6,2500,116,3,6.252209999999999e-10,5.2831040714716186e-11,1.4965053416666667e-11,0.2832625141245443,4.939708269669646e-10,7.564711730330353e-10
GCR_He_min_6,2500,117,3,8.763499999999999e-08,2.4929488322065482e-09,2.95509023623e-10,0.11853794181625472,8.144167196475515e-08,9.382832803524483e-08
GCR_He_min_6,2500,118,3,3.846653333333333e-09,1.8633207811145498e-10,5.01696354e-11,0.26924851538440375,3.3837414322448273e-09,4.309565234421839e-09
GCR_He_min_6,2500,119,3,2.2639733333333333e-08,1.6850425879880107e-09,1.5016934692533333e-10,0.08911902167685853,1.8453517649343315e-08,2.682594901732335e-08
GCR_He_min_6,2500,120,3,2.33201e-11,2.5695070363787683e-12,1.6103241866666666e-12,0.6267054979293275,1.6936575492969533e-11,2.9703624507030466e-11
GCR_He_min_6,2500,121,3,2.5833e-11,9.985027826200585e-12,2.6139778733333334e-12,0.26178974348717277,1.026813860201938e-12,5.063918613979806e-11
GCR_He_min_6,2500,122,3,1.6228866666666666e-10,3.0189390343849834e-11,6.981975143333334e-12,0.2312724789672905,8.72880107494643e-11,2.3728932258386903e-10
GCR_He_min_6,2500,123,3,6.841726666666666e-09,2.2248537082993417e-10,8.757705369333332e-11,0.39363061655085824,6.288997759120958e-09,7.394455574212374e-09
GCR_He_min_6,2500,124,3,1.53357e-09,5.970506594921401e-11,3.902697409666667e-11,0.6536626913679918,1.3852424234319253e-09,1.6818975765680745e-09
GCR_He_min_6,2500,125,3,3.1108400000000004e-09,2.4581613209877007e-10,5.977250596666667e-11,0.2431594112897757,2.500149590804862e-09,3.721530409195139e-09
GCR_He_min_6,2500,126,3,5.343853333333333e-11,1.0064929474831578e-12,6.30223708e-12,6.261580963641535,5.0938064447493326e-11,5.593900221917334e-11
GCR_He_min_6,2500,127,3,3.1567433333333336e-10,4.1626704773898846e-11,1.4303697433333332e-11,0.3436182977015794,2.122595201769567e-10,4.1908914648971e-10
